allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
333.77	355.03	368.23	356.6	385.97	327.95	326.27	371.7	273.09	307.19	292.46	307.57	319.61	333.79	322.75	318.66	307.33	302.87	307.64	332.42	338.56	293.96	328.29	356.87	325.53	333.34	298.24	285.93	318.99	325.91	318.41	266.18
414.82	434.76	452.12	439.61	467.48	410.37	396.8	456.62	345.93	391.02	372.52	392.35	399.49	414.5	405.03	397.9	386.07	380.51	389.14	415.36	417.47	372.16	411.22	444.72	405.96	415.29	373.89	370.48	401.18	410.02	395.32	347.86
481.02	499.17	519.9	506.73	534.93	477.73	452.97	526.1	406.28	461.54	439.89	464.3	466.31	481.43	474.37	463.23	451.5	445.36	457.01	484.95	482.93	437.7	481.7	519.86	473.6	484.49	436.78	442.98	469.85	481.63	459.57	417.38
536.98	553.22	575.19	562.09	589.79	533.25	499.12	582.44	456.74	521.52	495.44	524.58	522.71	536.81	533.07	518.53	505.17	498.98	514	544	537.85	491.8	540.58	582	530.58	543.25	488.57	503.39	528.19	541.31	514.08	474.85
583.25	596.36	620.45	607.21	634.7	578.86	538.46	628.2	498.19	570.32	541.78	574.64	568.54	582.61	580.65	563.24	550.62	544.02	559.79	591.52	583.39	537.21	588.76	632.91	577.15	590.45	532.06	553.73	575.48	590.3	558.08	523.58
621.5	633.9	659.27	645.82	673.1	616.94	571.4	667.08	534.45	610.87	580.34	615.53	606.66	620.86	620.21	600.94	588.37	581.88	599.03	631.76	621.58	575.12	629.62	676.19	616.01	630.45	568.98	595.58	615.13	631.54	595.73	563.68
655.28	665.7	691.81	677.8	705.84	650.03	599.65	700.92	565.23	646.51	613.38	651.28	640.47	654.01	654.85	633.58	620.87	613.79	632.89	666.21	654.61	607.25	664.29	712.52	649.4	664.66	600.38	631.05	649.82	666.99	627.61	597.67
684.18	693.37	720.43	707.08	733.55	678.14	625.05	729.73	591.92	676.23	642.84	681.43	669.08	682.42	684.02	662.12	649.7	642.54	662.05	696.22	682.84	636.38	694.18	743.74	678.79	694.53	628.01	662	679.04	697.14	656.3	627.55
710.27	718.01	745.86	731.19	759.2	703.72	647.88	755.57	615.63	702.8	668.07	708.65	694.41	708.17	710.03	686.93	674.44	667.06	687.33	722.21	708.29	661.29	720.42	772.71	704.29	720.21	652.61	688.82	705.78	723.94	680.75	653.67
753.74	759.78	789.97	775.51	803.22	746.29	686.17	799.62	657.41	747.23	711.06	753.18	737.43	750.71	754.11	729.16	716.58	709.48	730.68	766.68	750.61	703.41	765.07	818.54	747.13	764.31	693.83	733.85	749.03	769.55	722.7	697.62
790.91	796.3	825.28	810.47	838.46	783.3	718.67	835.93	690.78	785.76	746.01	791.65	774.25	787.78	791.45	764.05	751.45	744.4	767.04	803.67	787.24	738.45	802.59	855.75	784.2	801.8	727.78	772.41	786.49	805.88	758.04	733.36
821.54	825.41	855.3	840.5	867.8	812.88	746.37	865.77	719.54	816.28	777.27	822.29	803.96	817.39	821.96	795.56	782.46	775.44	798.12	834.28	817.51	769.32	833.59	886.84	814.03	831.91	756.78	803.25	817	836.61	788.49	764.16
847.9	851.25	882.13	866.38	894.55	839.02	772.53	892.27	745.39	843.21	803.7	849.27	830.36	843.14	848.44	821.29	808.59	801.13	824.4	860.85	843.31	795.32	859.63	914.31	840.52	858.18	783.85	830.15	843.57	863.21	814.83	791.66
