ch	pt	fine_thr	a_fit	b_fit
 5	 5	 4	218.408	0.643
 5	 5	 5	217.459	0.630
 5	 5	 6	216.465	0.724
 5	 5	 7	215.457	0.686
 5	 6	 0	222.439	0.642
 5	 6	 1	221.395	0.670
 5	 6	 2	220.393	0.662
 5	 6	 3	219.427	0.633
 5	 6	 4	218.383	0.592
 5	 6	 5	217.437	0.646
 5	 6	 6	216.452	0.665
 5	 6	 7	215.497	0.638
 5	 7	 0	222.404	0.644
 5	 7	 1	221.332	0.676
 5	 7	 2	220.371	0.622
 5	 7	 3	219.409	0.574
 5	 7	 4	218.394	0.614
 5	 7	 5	217.525	0.607
 5	 7	 6	216.499	0.623
 5	 7	 7	215.491	0.656
 6	 0	 0	225.912	5.410
 6	 0	 1	224.847	5.470
 6	 0	 2	223.842	5.420
 6	 0	 3	222.916	5.364
 6	 0	 4	221.929	5.394
 6	 0	 5	220.871	5.393
 6	 0	 6	220.044	5.391
 6	 0	 7	218.886	5.306
 6	 1	 0	225.601	2.352
 6	 1	 1	224.593	2.316
 6	 1	 2	223.680	2.408
 6	 1	 3	222.649	2.397
 6	 1	 4	221.551	2.233
 6	 1	 5	220.477	2.332
 6	 1	 6	219.615	2.271
 6	 1	 7	218.619	2.297
 6	 2	 0	225.527	1.480
 6	 2	 1	224.576	1.442
 6	 2	 2	223.567	1.416
 6	 2	 3	222.429	1.423
 6	 2	 4	221.557	1.456
 6	 2	 5	220.519	1.399
 6	 2	 6	219.520	1.359
 6	 2	 7	218.505	1.394
 6	 3	 0	225.600	0.999
 6	 3	 1	224.429	1.129
 6	 3	 2	223.578	1.059
 6	 3	 3	222.460	1.034
 6	 3	 4	221.466	1.057
 6	 3	 5	220.395	0.984
 6	 3	 6	219.558	1.063
 6	 3	 7	218.440	0.956
 6	 4	 0	225.553	0.860
 6	 4	 1	224.481	0.809
 6	 4	 2	223.536	0.907
 6	 4	 3	222.522	0.920
 6	 4	 4	221.477	0.841
 6	 4	 5	220.451	0.881
 6	 4	 6	219.456	0.817
 6	 4	 7	218.437	0.846
 6	 5	 0	225.537	0.729
 6	 5	 1	224.488	0.734
 6	 5	 2	223.559	0.727
 6	 5	 3	222.452	0.701
 6	 5	 4	221.466	0.741
 6	 5	 5	220.459	0.667
 6	 5	 6	219.499	0.670
 6	 5	 7	218.522	0.701
 6	 6	 0	225.549	0.688
 6	 6	 1	224.484	0.701
 6	 6	 2	223.487	0.607
 6	 6	 3	222.553	0.683
 6	 6	 4	221.491	0.682
 6	 6	 5	220.439	0.696
 6	 6	 6	219.436	0.606
 6	 6	 7	218.531	0.634
 6	 7	 0	225.557	0.626
 6	 7	 1	224.499	0.744
 6	 7	 2	223.486	0.642
 6	 7	 3	222.480	0.619
 6	 7	 4	221.489	0.628
 6	 7	 5	220.432	0.618
 6	 7	 6	219.457	0.579
 6	 7	 7	218.472	0.600
 7	 0	 0	228.959	5.317
 7	 0	 1	227.867	5.359
 7	 0	 2	226.836	5.315
 7	 0	 3	225.866	5.402
 7	 0	 4	224.992	5.472
 7	 0	 5	223.967	5.266
 7	 0	 6	223.272	5.272
 7	 0	 7	222.009	5.282
 7	 1	 0	228.594	2.147
 7	 1	 1	227.492	2.079
 7	 1	 2	226.718	2.306
 7	 1	 3	225.677	2.195
 7	 1	 4	224.780	2.227
 7	 1	 5	223.543	2.239
 7	 1	 6	222.762	2.199
 7	 1	 7	221.927	2.320
 7	 2	 0	228.555	1.373
 7	 2	 1	227.603	1.348
 7	 2	 2	226.429	1.354
 7	 2	 3	225.575	1.384
 7	 2	 4	224.667	1.379
 7	 2	 5	223.558	1.316
 7	 2	 6	222.738	1.391
 7	 2	 7	221.710	1.326
 7	 3	 0	228.517	1.007
 7	 3	 1	227.540	1.020
 7	 3	 2	226.564	1.008
 7	 3	 3	225.669	1.084
 7	 3	 4	224.600	1.004
 7	 3	 5	223.586	1.013
 7	 3	 6	222.704	0.985
 7	 3	 7	221.714	0.997
 7	 4	 0	228.533	0.883
 7	 4	 1	227.525	0.795
 7	 4	 2	226.589	0.848
 7	 4	 3	225.628	0.835
 7	 4	 4	224.693	0.847
 7	 4	 5	223.536	0.853
 7	 4	 6	222.732	0.856
 7	 4	 7	221.688	0.825
 7	 5	 0	228.542	0.688
 7	 5	 1	227.577	0.731
 7	 5	 2	226.615	0.672
 7	 5	 3	225.599	0.706
 7	 5	 4	224.651	0.694
 7	 5	 5	223.624	0.693
 7	 5	 6	222.725	0.724
 7	 5	 7	221.660	0.716
 7	 6	 0	228.483	0.622
 7	 6	 1	227.568	0.646
 7	 6	 2	226.575	0.667
 7	 6	 3	225.567	0.624
 7	 6	 4	224.654	0.680
 7	 6	 5	223.519	0.680
 7	 6	 6	222.750	0.705
 7	 6	 7	221.713	0.676
 7	 7	 0	228.532	0.638
 7	 7	 1	227.555	0.636
 7	 7	 2	226.620	0.677
 7	 7	 3	225.677	0.628
 7	 7	 4	224.636	0.588
 7	 7	 5	223.676	0.636
 7	 7	 6	222.706	0.637
 7	 7	 7	221.792	0.664
 8	 0	 0	221.865	5.247
 8	 0	 1	221.106	5.378
 8	 0	 2	220.010	5.399
 8	 0	 3	219.194	5.515
 8	 0	 4	218.052	5.357
 8	 0	 5	217.132	5.373
 8	 0	 6	216.464	5.509
 8	 0	 7	215.344	5.328
 8	 1	 0	221.347	2.123
 8	 1	 1	220.360	2.140
 8	 1	 2	219.478	2.108
 8	 1	 3	218.567	2.120
 8	 1	 4	217.564	2.151
 8	 1	 5	216.699	2.230
 8	 1	 6	215.772	2.116
 8	 1	 7	214.778	2.267
 8	 2	 0	221.249	1.452
 8	 2	 1	220.263	1.358
 8	 2	 2	219.373	1.345
 8	 2	 3	218.443	1.358
 8	 2	 4	217.572	1.315
 8	 2	 5	216.571	1.372
 8	 2	 6	215.721	1.376
 8	 2	 7	214.677	1.439
 8	 3	 0	221.233	1.068
 8	 3	 1	220.242	1.034
 8	 3	 2	219.347	1.016
 8	 3	 3	218.489	0.917
 8	 3	 4	217.497	0.920
 8	 3	 5	216.617	0.949
 8	 3	 6	215.668	1.030
 8	 3	 7	214.648	1.016
 8	 4	 0	221.173	0.825
 8	 4	 1	220.226	0.818
 8	 4	 2	219.212	0.819
 8	 4	 3	218.409	0.885
 8	 4	 4	217.511	0.802
 8	 4	 5	216.577	0.838
 8	 4	 6	215.690	0.857
 8	 4	 7	214.597	0.839
 8	 5	 0	221.190	0.796
 8	 5	 1	220.165	0.719
 8	 5	 2	219.243	0.716
 8	 5	 3	218.429	0.665
 8	 5	 4	217.401	0.674
 8	 5	 5	216.505	0.722
 8	 5	 6	215.623	0.674
 8	 5	 7	214.604	0.745
 8	 6	 0	221.263	0.646
 8	 6	 1	220.175	0.664
 8	 6	 2	219.305	0.580
 8	 6	 3	218.378	0.632
 8	 6	 4	217.459	0.692
 8	 6	 5	216.485	0.671
 8	 6	 6	215.565	0.657
 8	 6	 7	214.678	0.638
 8	 7	 0	221.124	0.625
 8	 7	 1	220.169	0.627
 8	 7	 2	219.263	0.600
 8	 7	 3	218.411	0.605
 8	 7	 4	217.428	0.627
 8	 7	 5	216.550	0.652
 8	 7	 6	215.558	0.601
 8	 7	 7	214.583	0.675
 9	 0	 0	227.076	5.106
 9	 0	 1	226.086	5.132
 9	 0	 2	225.055	5.046
 9	 0	 3	224.113	5.015
 9	 0	 4	223.057	5.164
 9	 0	 5	222.106	5.101
 9	 0	 6	221.336	5.066
 9	 0	 7	220.167	4.982
 9	 1	 0	226.895	2.196
 9	 1	 1	225.813	2.135
 9	 1	 2	225.012	2.191
 9	 1	 3	223.996	2.134
 9	 1	 4	222.927	2.142
 9	 1	 5	221.841	2.095
 9	 1	 6	221.051	2.103
