Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
583.44	597.87	650.97	613.48	607.26	635.67	617.87	596.14	612.44	611.80	602.24	680.82	633.61	624.06	633.70	620.92	600.72	645.33	644.15	664.14	596.58	555.85	653.73	592.70	544.35	610.12	637.07	624.81	608.86	629.19	650.38	628.35	619.02	28.813	619.39	  0	619.02	28.813
579.32	593.94	646.20	609.81	603.18	630.86	613.70	591.98	609.07	608.09	598.14	676.60	628.87	619.44	627.50	617.42	597.15	641.76	639.60	659.90	593.07	552.45	649.98	589.14	541.13	605.17	632.67	620.69	604.66	625.25	644.98	623.93	614.86	28.514	615.56	  0	614.86	28.514
576.93	590.45	642.78	606.63	600.29	627.91	611.03	588.85	606.00	605.17	595.05	673.05	625.76	616.34	624.66	614.52	594.39	638.28	635.61	655.87	590.75	550.08	646.57	586.79	539.09	602.16	629.41	617.40	602.34	621.99	642.35	620.39	611.84	28.168	612.77	  0	611.84	28.168
575.45	588.47	639.79	604.77	597.60	625.83	608.35	586.79	604.00	603.32	592.33	671.59	623.41	613.90	622.98	612.86	592.43	636.07	633.78	653.42	588.74	548.02	645.05	584.20	537.03	599.69	626.91	615.48	599.88	619.28	638.43	617.90	609.62	28.115	610.60	  0	609.62	28.115
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values (ADC code) at peaking time - based on Mean values with Outliers [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
637.22	651.57	708.47	665.90	659.09	690.02	672.70	648.85	663.61	665.58	656.81	734.64	689.16	676.98	685.47	673.52	645.99	691.90	694.96	720.08	643.36	601.60	704.44	641.40	588.70	666.22	692.82	677.50	659.26	682.16	705.85	688.70	671.39	30.891	673.11	  1	674.06	27.401
605.71	621.32	676.54	636.45	629.70	659.54	641.27	618.17	634.44	635.34	625.50	704.12	658.07	647.78	656.63	643.98	619.63	666.13	666.46	689.03	617.47	575.84	676.61	614.23	563.56	634.53	662.04	648.88	631.34	654.18	675.50	656.15	642.07	29.957	642.62	  0	642.07	29.957
594.49	609.16	664.21	624.79	618.42	648.30	629.38	607.42	623.14	623.41	614.48	693.00	646.61	635.51	644.18	633.09	609.80	655.16	654.89	677.13	606.26	565.18	665.70	603.41	554.64	622.33	649.78	636.69	620.39	642.35	662.74	642.76	630.59	29.490	631.24	  0	630.59	29.490
587.07	602.99	655.82	618.47	611.38	641.15	622.53	600.29	617.11	616.12	606.48	685.34	638.33	627.81	637.00	626.09	603.67	649.60	648.12	668.87	600.62	559.31	657.96	596.27	549.05	615.01	642.88	629.72	612.66	633.67	655.17	634.05	623.46	29.032	624.31	  0	623.46	29.032
583.15	597.87	650.97	613.34	607.11	635.67	617.72	596.00	612.33	611.94	602.09	680.82	633.31	624.06	633.70	620.88	600.45	645.03	643.77	664.14	596.36	555.74	653.73	592.70	544.35	610.12	637.11	624.72	608.86	629.40	650.32	628.35	618.94	28.829	619.30	  0	618.94	28.829
579.47	593.94	646.20	609.81	603.18	631.13	613.84	591.98	609.07	608.29	598.23	676.65	629.01	619.54	627.43	617.29	596.89	641.41	639.29	659.90	593.15	552.34	649.86	588.89	541.13	605.17	632.45	620.69	604.40	625.08	644.87	623.82	614.83	28.501	615.57	  0	614.83	28.501
576.79	590.45	642.77	606.63	600.05	627.81	610.89	588.85	606.06	604.90	595.05	673.05	625.85	616.34	624.51	614.33	594.29	638.28	635.61	655.70	590.82	550.08	646.57	586.79	539.09	602.27	629.65	617.41	602.10	621.87	641.97	620.33	611.79	28.159	612.61	  0	611.79	28.159
574.52	588.47	639.79	604.77	597.87	625.83	608.53	586.79	604.21	603.32	592.56	671.60	623.52	614.08	623.10	612.86	592.43	636.06	633.55	653.42	588.74	548.05	644.89	584.20	537.03	599.69	626.91	615.48	599.88	619.28	638.43	617.90	609.62	28.132	610.69	  0	609.62	28.132
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values (ADC code) at peaking time - based on Median values [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
637.00	650.00	708.00	665.50	659.00	690.00	672.50	648.00	663.50	665.50	656.00	734.50	689.00	677.00	685.00	672.50	645.50	692.00	694.00	720.00	644.00	601.00	704.00	640.50	587.50	666.00	692.00	676.00	658.00	681.50	705.00	689.00	670.91	31.018	672.50	  1	673.60	27.474
605.50	621.00	677.00	636.00	629.00	660.00	641.50	619.00	634.00	635.00	626.00	704.00	658.00	648.00	656.00	645.00	619.50	666.00	667.00	689.50	617.00	576.00	677.00	615.00	564.00	634.00	662.00	649.00	631.00	654.00	675.50	656.00	642.11	29.970	643.25	  0	642.11	29.970
594.00	609.00	664.00	625.50	618.50	649.00	629.00	607.50	623.00	623.00	614.00	693.00	646.00	634.50	645.00	633.00	610.00	656.00	654.00	677.00	606.00	565.00	666.00	603.00	554.00	622.00	650.00	637.00	621.00	642.00	663.00	642.00	630.50	29.607	631.00	  0	630.50	29.607
587.00	603.00	656.00	618.00	611.00	641.00	622.00	600.00	617.00	616.00	606.00	685.00	637.50	628.00	637.00	626.00	604.00	650.00	648.00	669.00	601.00	559.00	658.00	597.00	549.00	615.50	643.00	630.00	613.00	634.00	655.00	634.00	623.44	29.027	624.00	  0	623.44	29.027
583.00	597.00	651.00	613.00	607.00	635.00	618.00	596.00	613.00	612.00	602.00	681.00	633.00	624.00	634.00	621.00	601.00	645.00	644.00	664.00	597.00	556.00	654.00	593.00	545.00	610.00	637.00	625.00	609.00	629.00	650.00	628.00	618.97	28.737	619.50	  0	618.97	28.737
580.00	594.00	646.00	610.00	603.00	631.00	614.00	592.00	609.00	609.00	598.00	677.00	629.00	620.00	628.00	618.00	597.00	642.00	640.00	660.00	593.00	553.00	650.00	589.50	541.00	605.00	633.00	621.00	605.00	625.00	645.00	624.00	615.05	28.517	616.00	  0	615.05	28.517
577.00	590.00	643.00	607.00	601.00	628.00	611.00	589.00	606.00	605.00	595.00	673.00	626.00	616.50	625.00	614.00	594.00	638.00	636.00	656.00	590.50	550.00	647.00	587.00	539.00	602.00	629.00	617.50	602.00	622.00	642.00	621.00	611.86	28.218	612.50	  0	611.86	28.218
575.00	589.00	640.50	605.00	597.00	626.00	609.00	586.50	604.00	603.00	592.50	672.00	623.00	614.00	623.00	613.00	593.00	636.00	634.00	653.00	589.00	548.00	645.00	585.00	537.00	600.00	627.00	615.50	600.00	619.00	638.00	618.00	609.69	28.111	611.00	  0	609.69	28.111
